Keyword,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
Hoodie,variable,1555513411,Fate/Stay Night Archer 3D Hoodie,1,,visible,Fate/Stay Night Archer 3D Hoodie,"Fate/Stay Night Archer 3D Hoodie <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable, ,1,,,,,,,,,1,,,,hoodie ,,,"https://pod-product.s3.amazonaws.com/h-m-73e52ce7-2333-4895-9071-779d70710f26.png,https://pod-product.s3.amazonaws.com/fh-m-8a694eff-a3d9-4860-8c91-7fdf229ef5a8.png,https://pod-product.s3.amazonaws.com/bh-m-5139de8d-c160-488f-a387-2876bef761f6.png,https://pod-product.s3.amazonaws.com/m-42d7b48a-d25e-4afd-905a-e91dbd04bf4e.png",,,,,,,,,,Size,"US/EU S (ASIAN L),US/EU M (ASIAN XL),US/EU L (ASIAN XXL),US/EU XL (ASIAN 3XL),US/EU 2XL (ASIAN 4XL),US/EU 3XL (ASIAN 5XL)",1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,45.99,,,,,,,1555513411,,,,,,,Size,US/EU S (ASIAN L),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,45.99,,,,,,,1555513411,,,,,,,Size,US/EU M (ASIAN XL),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,45.99,,,,,,,1555513411,,,,,,,Size,US/EU L (ASIAN XXL),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,45.99,,,,,,,1555513411,,,,,,,Size,US/EU XL (ASIAN 3XL),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,45.99,,,,,,,1555513411,,,,,,,Size,US/EU 2XL (ASIAN 4XL),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,45.99,,,,,,,1555513411,,,,,,,Size,US/EU 3XL (ASIAN 5XL),1,0,,,,,,,,
Hoodie,variable,1555513411,Avengers: Endgame Captain America Cosplay Zip Up Hoodie Jacket,1,,visible,Avengers: Endgame Captain America Cosplay Zip Up Hoodie Jacket,"Avengers: Endgame Captain America Cosplay Zip Up Hoodie Jacket <br/>Each hoodie is constructed from a premium polyester blend that is ultra-soft and incredibly comfortable.<br/>Features a specialty high definition heat-dye application that ensures long lasting color vibrancy even after machine washing.<br/>Fabric is durable and resistant to wrinkles, shrinking and mildew.<br/>Each Hoodie is custom printed, cut and sewn just for you when you place your order Ð there may be small differences in the design on the seams and / or arms due to the custom nature of the production process!",,,taxable, ,1,,,,,,,,,1,,,,hoodie ,,,"https://pod-product.s3.amazonaws.com/allmoveek-ace5c9e8-34db-400a-9fa1-5fa831ea15b8.jpg,https://pod-product.s3.amazonaws.com/mockup-back-zipped-hoodie-moveek-341623f8-d74f-4645-8c6c-1521dc32a1d9.png,https://pod-product.s3.amazonaws.com/mockup-front-zipped-hoodie-moveek.png",,,,,,,,,,Size,"US/EU XXS (ASIAN S),US/EU XS (ASIAN M),US/EU S (ASIAN L),US/EU M (ASIAN XL),US/EU L (ASIAN XXL),US/EU XL (ASIAN 3XL),US/EU 2XL (ASIAN 4XL),US/EU 3XL (ASIAN 5XL),US/EU 4XL (ASIAN 6XL)",1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,47.99,,,,,,,1555513411,,,,,,,Size,US/EU XXS (ASIAN S),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,47.99,,,,,,,1555513411,,,,,,,Size,US/EU XS (ASIAN M),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,47.99,,,,,,,1555513411,,,,,,,Size,US/EU S (ASIAN L),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,47.99,,,,,,,1555513411,,,,,,,Size,US/EU M (ASIAN XL),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,47.99,,,,,,,1555513411,,,,,,,Size,US/EU L (ASIAN XXL),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,47.99,,,,,,,1555513411,,,,,,,Size,US/EU XL (ASIAN 3XL),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,47.99,,,,,,,1555513411,,,,,,,Size,US/EU 2XL (ASIAN 4XL),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,47.99,,,,,,,1555513411,,,,,,,Size,US/EU 3XL (ASIAN 5XL),1,0,,,,,,,,
,variation,,,1,,visible,,,,,taxable,parent,1,,,,,,,,,0,,,47.99,,,,,,,1555513411,,,,,,,Size,US/EU 4XL (ASIAN 6XL),1,0,,,,,,,,
